起点	终点	距离	类型	红绿灯
1	2	3	0	1
1	2	1	1	0
1	4	5	0	2
1	5	3	0	1
1	6	6	0	0
1	8	6	1	2
1	9	3	0	1
2	3	2	0	0
2	3	4	1	1
2	7	2	1	1
2	8	10	1	3
3	4	2	1	1
3	5	3	1	2
3	7	3	0	0
4	5	6	0	1
4	7	3	1	1
4	9	7	1	2
5	6	4	1	1
5	7	5	0	0
5	10	3	0	1
6	10	5	1	0
7	8	6	0	2
7	9	5	0	1
8	9	7	0	1
8	10	4	1	1
11	12	4	0	1
11	13	3	0	0
11	14	5	0	1
11	15	6	1	2
12	13	2	0	0
12	14	4	0	1
12	15	5	1	1
13	14	3	0	0
13	15	4	1	1
14	15	3	0	0
16	17	5	0	1
16	18	4	0	0
16	19	6	0	1
16	20	7	1	2
17	18	3	0	0
17	19	5	0	1
17	20	6	1	1
18	19	4	0	0
18	20	5	1	1
19	20	3	0	0
8	11	30	1	5
9	12	32	1	6
8	16	50	1	8
9	17	48	1	7
